Mixing rate (rpm),Colour removal (%),Turbidity removal (%),Mixing time (min),Coagulant vol.,Nitrate conc.(ppm),Iron conc.(ppm),pH,DO(ppm),Salinity(PPT),Initial pH,Salinity (ppt),TDS (ppt),DO (ppm)
90.3160588867294,100.0,24.282123467242876,4.381445142066567,4.060612462543958,10.532750340003961,7.511991767448816,10.0,11.717029878587699,13.054281865441325,9.963756172699828,432.7272007600052,0.5453269487936551,76.68217812360689
49.86893103069251,78.61874497934313,87.2646099367348,4.902000374276476,4.0999141216303645,13.666207810069881,10.58480091975386,10.0,11.002960614616105,12.426825013295916,7.167236307919345,257.0195090219562,0.6673146217135092,43.61366671461736
113.89461099577,87.34952762592243,91.86245523307305,4.593911414248894,3.7631620705321396,9.060059744474579,11.752560271369841,4.350585639244159,11.70253309234893,12.472576236340698,6.909016385329079,220.44429579764602,0.7466265697827754,37.6967588958925
154.95262032642236,87.7453104622543,73.8927784595212,3.889746544009631,3.942217781354038,10.049072077006718,11.371487887526136,6.088451808794186,11.988216052287854,11.497176710528066,6.93270387477602,218.23140440893576,0.7425174390008354,45.34781117240196
193.83634214935893,84.721363572321,91.28085948344207,4.413563975686911,4.049478492362123,11.735942219567246,7.951770824740308,10.0,10.914617956906353,12.147494647403882,7.2399600012944445,217.26213105683854,0.817488787656088,42.873703726274165
251.25519979570166,79.53118277226176,82.31434639940916,4.0699308902367335,4.230409470297576,4.2530463088351524,9.200991191507748,4.0,11.041999814779977,13.13839490470182,6.973182935959191,217.98957077333856,0.8217156758233439,39.67714489405159
307.92849564969305,83.06173095705974,93.94968733874211,4.329945448139429,3.5895087285000353,5.46893231457918,9.662495464848877,7.78363298388747,11.808159628444637,12.827413346797545,7.258087579114207,239.49338912749886,0.7643424753973651,39.27128913959688
28.63249507965759,75.9707093372611,92.1045880102885,3.5408677111474143,4.204501723032739,8.687639905990565,8.614232666721398,8.154359000082518,11.46495112937772,13.40663576334773,7.116291568063852,223.19313851329173,0.7764341198852447,39.15696470229946
38.64967446883848,97.67185400300964,96.35831437063193,4.096880826236937,3.707171865242329,8.06968524202526,12.774599282322283,9.717331409880577,11.294697447436278,12.35175473282897,6.985916291362751,245.46938118564043,0.7527698552081301,42.48656696126965
65.90981390108544,100.0,95.69587763416285,4.205725826155378,4.185359559387754,5.153606112660664,11.98081608968426,10.0,11.195120945883035,12.110634029052985,7.034529749972843,190.6292343103212,0.7998423247442964,43.5651253622756
71.52025330137121,96.49143442684701,87.22250302491501,4.252990654433664,3.804018692888945,8.997674389697892,8.171255565132853,6.2871765688105326,10.20600055020067,13.11777192066325,7.348907518972309,221.9405312675953,0.7260938696690946,39.180806994572556
94.96956975752681,74.05134892661246,57.042834145684076,0.8847123723369205,3.8299273269239853,7.732484284938296,10.50101111146369,7.881224279668591,11.570548528567217,12.609742419784311,7.251281817649961,202.96365357664982,0.7980085251913681,40.546539462773055
95.5150344975481,69.92031169632229,65.61853643262864,1.7383395854416401,4.339470483415677,11.96202902960044,11.523743243055824,4.4203903697923135,12.357243764909096,11.997818551964174,6.888036772687829,300.69904597151054,0.7635326915819595,42.256048166653876
88.46530955976854,81.59642177035572,88.34731416883213,2.194079833701559,4.07324544444531,7.989672342868515,12.632762086904364,4.0,11.872033259756657,11.912285830608932,7.055395521611774,212.59420515457236,0.698079407444822,36.78736509442575
68.91876410198279,81.11954692963671,81.5415758618998,3.9503510258736596,4.005248426719639,9.972829939557046,10.417476512144342,4.0,11.136535868513711,13.569646868362128,7.154477820422883,209.07060682657917,0.7667434457717937,43.741228247449904
88.90873146716619,86.69209535286244,98.78108911577955,5.262462471134673,4.108632640292649,13.733324075324914,10.809393919808594,8.361934512214681,12.32290562850707,12.766313123075276,7.07885269506727,222.26995288977798,0.7397440271334731,43.967297963301895
75.4263427567041,86.95299222955413,81.81102217138829,2.1382053088088733,3.926380296839341,14.707563123960101,8.360262182748183,10.0,11.038715168202467,13.546554839669739,6.916016194376862,189.2975337403503,0.7874592658576403,41.47064945095445
95.33941666289668,85.08035851424903,91.86983223002885,3.7427613406756275,4.164080024857849,11.180965122891317,10.222417403160414,8.106351228428846,12.391038519949646,12.31484440834318,7.079799889931956,192.27296118109282,0.7022789215132588,39.263052705661295
79.67258417313825,85.51103585318893,91.58926423816044,6.057253166734345,4.103247727972077,17.009333670873485,11.42431076476877,8.402549958325523,10.954898600982105,12.554219715726045,6.978590101523815,166.10535628067618,0.7123247888206707,42.89292328745329
106.07855322466534,100.0,95.31364713439655,7.805419498122141,3.9614975376145094,1.7847680266569705,12.897219608256528,4.0,10.946436211028386,12.26429984705862,7.016495727531295,154.6383196264278,0.868919768809592,39.99781722981931
91.42818306812617,100.0,92.05095741013443,9.96173199777148,3.9608848900523084,2.3161044838520057,14.468654506192891,4.0,11.194983912469315,13.152627361751875,7.125611569211176,209.89934590255135,0.7633794301902479,40.79649658511341
101.38673248872678,22.815218364059834,1.683269882151438,4.288995935513352,1.993892709450858,122.67351192938762,92.22318469290336,10.0,10.206579547499652,12.821035067726148,6.846949031118367,233.87088714347814,0.7588627604411476,42.48616893014996
92.35114251173596,26.022684130095257,0.6538941777171062,4.244900664800569,3.197692770270228,64.73393787502984,85.56328187209374,10.0,10.938058013822692,12.32339625756222,7.2152021193298195,248.48421197668623,0.6783977986157885,35.377910889368266
95.29910227882304,33.28759954616889,1.9486846311886987,3.582193883014167,4.1491334555387445,48.50487119943096,92.16510334157664,10.0,11.13313635259098,12.801707349944387,7.094927497023614,198.2735442288729,0.6853990567831236,38.927813695978706
97.16118378289475,44.135902613161214,0.0,3.7391866011336474,4.867463199251466,36.86305964163033,90.80512653665241,10.0,11.868303111765135,11.553606514665725,7.157231217431429,270.0851283328514,0.724258738073574,39.903217416742656
89.7617303267031,62.1842321431584,0.2598094630121621,4.05523003180629,6.005012698050085,55.045929385884605,89.88685745628285,10.0,11.755766662016573,14.012887439486416,7.015088438850989,201.27222310979158,0.7266860263625122,42.47020566081762
98.55088435149347,92.874160672633,0.0,3.8485554281675833,7.063539913015967,59.29353410737031,86.32950778359763,10.0,10.150128166506102,12.776712227603841,6.969071330099107,249.7449633635124,0.7291528829444692,41.63904400294995
97.09158257651104,89.07551082838732,10.394188625176213,3.9603023749739195,4.041886502765884,14.560530892349528,7.8309084523421,8.905267997962182,11.435258491365163,13.236574020467492,7.086356864971137,201.84599552012665,0.778605963013936,39.21499573657796
90.72192879154322,15.476138449534496,15.354538356428439,3.976380740869565,0.7594560065434723,7.9358582438512695,13.312498300391951,4.0,3.566367163929144,4.883667668802108,7.276466419169892,221.32575378769116,0.7312856078185698,38.90141191830187
88.52177759380935,16.124151264308978,14.188657936473248,3.9260466491543893,2.1433543024551778,1.1021592377611158,8.583597107873704,5.493819172204219,5.831892274294411,7.067467327722904,7.046100764587349,243.28887202698908,0.7042606217216613,35.55705727457098
70.22179861306286,28.03605027149891,17.878965819096496,4.047666279509498,2.921148643521387,1.1410392874966941,7.285238072102869,5.374906424985288,8.843280121733674,10.318709781758612,6.8774107414274654,222.25573697635133,0.7339438020466607,40.90391321065326
92.28086955707768,32.4141991500772,16.032729031618562,4.014323893923605,3.9555291303938986,1.1976158372860264,5.7791349007815445,4.0,10.377950960548212,11.04246374948215,7.09984341432093,165.87503767230567,0.7672899853098881,37.64799508716416
81.76632610577359,54.30139700857174,15.279983416378581,3.590190753099287,4.968501261961789,3.673844342864868,10.319788583689677,4.0,11.981068136928906,13.752242817605316,6.912835927640393,198.52419441797088,0.7729098260051193,43.28905567421696
92.73771905803369,63.75000490577399,14.165585901171944,3.565449473756628,6.053802154545892,3.804728060699368,6.931530746720988,5.1925083532057155,13.407800806449885,15.073275607736054,6.87179562596857,220.80734310295395,0.7563502191481549,42.87936379408977
103.92064967551674,93.7364566061407,16.799843421049523,4.376349542904458,6.850650083278237,0.5530995059015964,9.573215899821468,4.62476514699357,19.068739078325688,21.624844778880064,7.037896094980368,233.41661946388356,0.6964795822772284,37.159770899846755
97.47669732204896,15.799378721257384,15.095822112250687,3.676387083072343,4.027481762392088,0.8517733625032635,4.90163851597122,10.0,20.963694526037898,23.669301909208123,6.946381967739295,248.66247408862372,0.688130961642886,34.22654403578547
92.24305648480129,70.5157490880719,3.7954715234645278,3.6609942120412327,3.9018667349948744,9.922607402535107,7.239452166303817,8.241136269332861,11.73051622661046,13.069737460165491,4.0918088471694585,12.11115604479483,0.9315359646535402,9.186694437408107
91.42751563004143,77.90279749803199,4.725553900788139,4.3644800525649545,4.155434549825538,6.100775046599916,12.757919164584841,4.022222588839176,12.014896852661519,13.530499451255867,4.963156003822566,21.494512934980246,1.0201767846092051,11.41076456952158
97.2717454929973,91.76392112057559,0.0,4.071722845458126,3.6877796043702946,6.650220418636356,7.275121086450282,4.380153515704025,12.18547626963815,13.135473986604126,6.145120031147592,3.405408212848287,1.0825799347426768,13.758327324694871
81.83068117762022,79.60043726558773,3.921275306187134,4.154175113306033,3.7873173993795652,5.813846075066735,6.930106326895717,6.1453909871762455,11.027946497721056,11.975748363072304,6.699853953641354,38.61273056790737,1.1175811868763736,16.13391133889006
85.74180719636509,79.21164229410655,0.6138321639938351,3.7978819748670674,4.039504267590991,9.312158052769973,11.412508110876185,4.0,12.268005031675948,12.675990152612997,8.051634533785725,0.0,1.5714015476427092,17.160361080167398
78.26774291923705,75.16753479549885,2.324701019612072,4.434071217316592,3.8141198587285263,14.331985334514519,9.114685848317817,9.09951393966405,11.437295523803215,12.684731907019932,9.455850921631543,21.23483131242189,1.5127045441077078,10.312872513774858
98.3794473034387,81.65030255381004,6.825404902737411,3.8499618921977543,3.8553913873241537,14.839372367952517,10.462864105251768,10.0,11.830435948131479,12.405098370336791,10.0,41.60045226488633,1.7308815918836324,8.601298026700206
97.48963557375889,100.0,19.68142976205398,3.7253695717969673,4.2877610188171635,11.124385458356201,9.744603451538868,4.0,10.8960268128575,12.148079620561683,4.0,721.3980757849605,0.4953158552351607,70.63790859641199
95.70504157523655,100.0,16.82469232529729,4.031724359583471,4.233821566364849,9.004969317782754,5.565067335190717,5.100747605579231,11.228644000478685,12.242059645343163,5.396435110076835,666.5288542097277,0.3160115009214386,88.23892249090356
97.20174453347616,57.047172868973284,15.6311942805563,3.6483941321696713,3.9640660847554847,1.349486453650627,3.6823987392432764,6.383825095629186,11.167915444836279,13.996870859818403,6.229644825347426,450.6342543477717,0.22964661282807708,86.14870451019131
78.97196673277476,31.136698613175422,16.466665400332875,3.823574408169552,3.8934020193454475,16.361183140730212,7.530180493228363,10.0,11.793735351821287,14.190379886550577,6.967674113683622,469.3482579320455,0.147441871776279,93.72246075288349
89.82684802017697,53.46399644300915,15.959185352921097,3.6369007084429854,3.894939933342996,6.339206308550548,6.752021844869606,4.88059063993678,11.540695364725305,12.831915869407288,7.758455928582217,496.727033191286,0.1494079375062631,90.1687574474462
100.29166632202802,95.1807555668073,12.778850684640288,4.018282303259208,3.874542663423703,9.91076599474476,8.971733953069577,5.938069003556406,12.131618345567508,13.167479172643548,9.191140035212412,432.8321688008576,0.4628844894975394,82.44061578517004
91.42830884967437,100.0,13.091662693892292,4.1546149413187425,4.170011617419605,6.9246237589002595,7.069018067935009,4.133742255191953,10.72607689809298,12.92693473221325,9.971344744656188,473.22546502735656,0.5286937052748817,77.33004269917726
41.400997745758566,71.30096123201275,93.28524240337282,3.344742757333528,4.300280591547025,10.754717323903513,7.396843946154756,6.39544623848013,11.782741822315522,12.377032756902647,6.775423352224267,240.9694438414165,0.7137577685121663,40.004845388309555
95.88953263232897,74.71567997788881,87.36093792697609,3.877109533313382,4.463839405814588,9.663544586860834,14.163474376741696,8.689296037339115,10.113622629548459,13.582792490575777,6.797230068748799,185.07335928710108,0.7442118991955596,42.09035124431128
141.39020615448914,77.67151412545489,75.17144193424305,4.001696180195065,3.9731513486654433,5.96992560860706,11.904110272403067,7.003964165176811,12.374292114054265,11.957896201929104,7.253782556130238,195.17841930564913,0.7717801392660388,41.24740168710354
192.1831329705363,78.54156054671952,91.4207684514908,4.015662939748919,3.8384903436268423,9.705980219668364,10.567351766600611,10.0,11.229052951415088,12.112808586109654,7.040338070431435,224.5242910571865,0.7283423722587727,37.69990357091472
256.2437232006749,100.0,80.1289209953146,4.087664807811919,4.178269190062023,10.72151999113277,10.661745719536533,10.0,11.474361181249723,13.500396066327562,6.978638806604245,173.29787340552278,0.7127531890681389,39.54163307113222
309.17734503007694,74.93820385245522,92.44258889472441,4.446450264904263,3.9631547092671187,2.3290653778913644,9.65383368277006,8.122341060903539,11.280796718901707,13.163521543059835,7.083913093458961,202.09310376874816,0.6879732205015465,43.75467963885707
21.499314241151666,77.1361872623269,93.32693042093813,4.270555373992834,3.846719801700428,9.808971157321078,9.736608618328543,4.0,11.809614988412562,13.012880973944094,7.025791612838393,219.40267010217335,0.6828913242455155,42.45861655594369
37.823632631778366,86.79393395329492,100.0,3.7914726407277026,3.972877249993298,10.252473996671887,8.726727933454788,6.3111564170153205,11.520834384052257,12.708407880793635,7.293572532942949,207.14577447782716,0.6423666723290573,39.12582825900037
56.04440596633294,100.0,92.82100232412573,3.9863621085152934,4.129771320121085,13.358717352236841,14.217480488545121,9.566227791570697,10.987526847341005,13.616475184762043,7.104170037601705,225.73176194050401,0.8229529476818257,46.09681137976196
82.43148342902865,96.71490537470504,83.67585473978913,3.7337076061674166,4.441659170731673,14.448544799630664,8.083845972939361,9.719782694737496,11.185155921285402,13.0736083240666,7.090616094399442,225.68297192951133,0.742524950557911,41.74940549547006
92.36631764682627,60.53877890584228,57.29373417090853,1.1340112817594772,3.9519831351332613,11.156890101791314,9.75589739097983,4.998283225340476,10.137130997423581,13.310983070242807,7.046472123004116,243.97568689362717,0.72196661523155,42.233092925318466
100.01598190023229,68.98601753211025,65.10325359206367,2.2344345010788023,4.083983269969158,10.322246944671488,9.613901548891054,4.986208354791987,11.529268844642893,12.575808236405965,6.992355700513251,234.71990991613325,0.7189816535140868,42.20218814368539
85.98824524341958,81.93842259947488,86.61461191889141,2.9806935166499993,3.969072603074319,4.5401311638533945,10.763983650275279,6.369880560989132,11.68297009259653,12.335144143543776,7.1940194455904,229.74623907450626,0.7496897647070827,42.98333107689624
77.33062869643743,78.73869516232563,93.13093714999253,3.849017067183453,4.1173845293998905,6.926793670541896,5.091424557717007,5.988738307253322,11.374278089172686,12.852629323096762,7.063902109534915,241.01207341588596,0.7139731292962782,40.564773348137074
87.78405621344656,75.63480577901461,99.21447719737779,5.154351167677478,3.9774735020421756,7.362097951230954,12.244741675759718,4.873691592547596,11.185934013210746,12.857463339975968,6.7768368192501525,217.28105564481683,0.7686348753214626,44.29611862514861
91.43676761883019,94.14201763291457,88.85844019704363,1.5821076155863374,4.052571057569895,9.248056708372244,7.429180918855282,5.289946256478777,11.423957333207907,12.9089164928309,7.0076628762040905,274.3581856986839,0.7682727166223698,42.65998816830959
88.94690080847045,86.32544474951727,91.83523831380138,4.59210579423503,3.9504829742029512,3.1554446788399204,12.132059345020675,5.393924616975733,10.796928316914597,12.737761828169818,6.820687399013871,215.06514739699384,0.7318744780490833,41.50303451921603
83.65679535701464,76.81416380834554,90.33249760593382,6.252125014490784,4.211725031757645,8.617636393007768,9.548337829706211,4.743418063042203,10.451974212996532,12.265773854332288,7.199813886396999,196.10292106172167,0.7345030928215673,41.356113661340835
74.15098201996321,100.0,96.71432384343737,8.040234508811288,4.272787009192392,14.141830775361719,5.194558159615459,10.0,11.760943361912933,13.277644284948783,7.200415723125301,242.18265972854869,0.7089831437473032,41.744564240361264
71.47128715238429,100.0,91.1401162501994,10.08797859557887,4.147515025697944,9.706052081290446,7.287503294878006,4.0,11.692578833708506,12.87030039977173,7.218492058162786,228.5406805853181,0.7473925514515312,42.46150984855724
95.03007615918843,21.724543506071363,0.0,3.766468209024586,2.2071809746771,114.96485853954604,88.62143716665771,10.0,11.60943696753393,12.857997967858786,7.236011709139122,269.9956092365803,0.8018795912600618,40.160949142153015
95.77843309860724,30.925203556587245,0.0,3.842680077078917,3.2025611408298165,61.17551841153849,90.57490177409385,10.0,11.292588306699786,13.530137375701635,7.1877027942096765,206.80495963357188,0.7083327653005345,42.167439563143176
100.75589951483447,46.06909988360085,3.480960703629635,3.844205039651667,4.302579093698776,35.57572291121407,91.31279126943492,10.0,11.92230833681546,12.00903399911608,7.150008523705778,220.74006627509166,0.7129340119690623,37.58336207927543
84.18763207382526,42.566961970471496,0.9475978529962392,4.246737968464588,5.29459062845262,46.0587755120357,86.85785689872817,10.0,11.194759016508318,12.028177738790507,7.021087945874776,237.51990476828942,0.7276029734622865,39.750828680810116
83.6147353782975,48.20825479557307,0.0,4.0089302356759715,6.477177412054372,55.79887379425763,92.23722801421079,10.0,11.280821560879923,12.62599464576629,6.7946771998407005,270.7508401982604,0.7610642376005492,40.6299081483512
91.40113188538989,92.65462876772621,3.556950369456958,3.587991480307422,6.911771393239276,51.161904785082776,81.28443380695614,10.0,11.172741730234698,13.197365979855148,6.786590482595713,197.25420094885206,0.763363297895873,38.060576685691494
83.70512081905872,84.77280892510967,18.76746213985574,3.810363869569347,3.9560405101651175,6.734494073467973,7.429449708539041,7.396307221610458,11.386702659732716,12.500006511813915,6.899958259917406,183.84773254010412,0.7329353567616211,43.21677275941549
80.4403201494105,6.5722135842718234,18.61900966921162,4.020101602354136,1.2944383374852246,15.386842345985494,5.978941254227745,4.0,4.184781275809359,4.1205220919179615,7.007914809676831,220.93509581927168,0.7657722994661039,40.68683135876465
95.61761899682003,19.294062900972882,15.195469039317814,4.0852853184362115,2.0142349579740015,0.0,9.467032066843718,4.0,5.371058555662651,6.968227183280248,6.799811334925976,210.80864364111056,0.7488149180704673,42.57612476241103
79.1334915118187,26.703294517176417,8.8240867788269,3.909881156544613,2.8963429829607117,4.086583331400342,6.7428152365724925,10.0,9.314641097913311,10.90564790994089,6.789037398547983,229.66257014175815,0.7641931054038427,36.51531726766121
94.74261162632669,40.10367987713568,17.563501150718768,3.2379639785228176,4.067113702102159,0.0,8.905451866731193,4.163690345615675,9.901035639472813,11.384552682473235,6.811303567043349,263.2329830607477,0.7927590615390013,39.01366293215288
85.77629368576433,50.30216328236375,15.295612233341762,4.039802630053773,4.788416730913986,1.1529399168535084,6.216945767415829,4.060462375212793,11.91054100854023,14.785155148451842,7.100026498434858,163.84173979628093,0.6562449054527169,37.03430602176291
100.53163006633693,50.632113808357715,12.2690658375751,3.680008563557703,5.956833377389494,1.8126590002221974,7.7801797848185466,4.0,13.320876451303132,15.325165968109996,6.994492715465095,145.9279495594418,0.755253389896318,37.70991818077578
99.97833647592611,97.90801561492239,16.06504699354538,3.806189221265795,6.794349210852871,0.0,3.7009580131882425,6.719708005380415,19.118814727418066,22.60966259581414,7.165968876882832,176.97170823582724,0.7762252744774973,45.4760294340077
92.93942489268355,0.0,18.41214188301089,4.198122417598005,3.791135109932318,6.04018929946721,11.133979760054856,6.312029393528334,20.869302280087826,21.995513902811233,6.958694355933423,220.2403723935135,0.660141669956872,41.9815366936689
78.52026438881177,73.72451211058083,7.440809729036665,4.059904098785958,3.832119962399634,6.958718317834322,10.597331743436026,4.959995429152669,11.776948768648245,13.50181745388953,4.0,0.0,0.875873523072408,10.24784539748437
93.9705027933387,73.87295499299364,2.5952439582031683,4.111043962170546,4.249050318296221,7.0540899629685185,7.5200852460670555,4.923194184302396,11.76987281451469,13.24410487215986,5.151103671774746,0.0,1.018508690779829,13.32614190748871
101.95044993463125,69.95402742528118,0.8827565282851455,4.370309217251599,4.091800089806286,13.439166460725469,7.9828726434638195,5.654977286790455,11.140528003981064,12.904757334847599,5.997685613524104,0.0,1.0060796637302183,11.179796569340432
82.76062416996143,83.6281496068169,0.23547448921444625,3.7464803790631427,4.120339539666224,6.192698128670129,9.459717491395633,4.634098796636264,11.597516827554475,13.542567509962215,6.981861121059786,0.0,1.1409191980617774,10.812055422346042
82.02616452889659,82.81113454139405,3.990574537610352,4.246608624291623,4.180727699665703,9.358163344389524,5.214203833021938,7.23968546178395,11.744773945044695,13.229142761335686,7.963857326277069,20.962532925279515,1.6948360769724002,14.49481447440148
82.42520106784718,80.27879466226972,0.0,3.8566074521786824,3.9297278731190124,10.25054345370986,7.211218104446909,5.244267010956978,12.158825439627947,13.109221733461819,9.18018565612752,32.436038236571136,1.481481307355935,15.23864656998281
93.09507620998863,93.60905481484836,0.430714152593644,3.8324384353704186,4.290634102912232,11.516913262627286,5.691349706433927,4.0,11.426868246753601,11.899347323943822,10.0,24.758159963458784,1.6602941975188195,13.005741538899228
83.56726881394951,100.0,17.541050042173044,3.9500652364987787,3.872357277681569,11.761798098100888,14.305885906668191,7.014571966774975,11.069049086625705,13.363246210405848,4.0,784.9997003670518,0.6227359896281185,72.10150879132925
91.36806984013971,96.61817775366785,20.72003568552314,4.054739273546117,3.836369803883576,12.250982696208787,9.225784345871306,5.460151356606969,10.503079826475185,12.395126313811906,5.012322952062784,680.0869694940487,0.33420376800409557,88.61705108197174
88.75337201359372,45.91580147043038,15.587708956826472,3.46719073476827,4.219587023237198,5.374934122290463,8.636136827926817,4.0,10.921414382876154,12.543088735813198,5.835322624638866,459.0983277560714,0.2863780737675882,93.52108204912355
90.41742565971501,30.590616793358066,23.768955343891488,4.382547018818789,4.150268927381064,13.475726323694293,5.8059165007146,8.636267645921253,11.754192091699458,13.114892884144178,6.769583746532035,444.1390186593936,0.21639274022445595,87.93384497538678
95.890937963198,31.178664626022996,16.51706800822261,3.836338797054039,4.119343963750451,8.574908823566743,10.674007277135846,8.817075318853606,11.76261863958345,14.18453183769292,8.171988782881188,528.0926711603661,0.18942163866675432,90.06236625509462
86.75521051335608,90.83976493907069,16.232375274591288,3.9061874907927736,3.861536555782374,13.657850094830298,11.637860426014996,8.23453220244373,12.002016548318373,12.628653040824688,9.433304887638137,433.32342820346565,0.43269019879098103,82.2091732647786
88.93945549794898,100.0,21.410863108034604,4.211728117224742,4.329197542605453,8.591454633244942,5.830491746881995,6.078737804098515,11.617489382254643,13.197899319068153,10.0,451.62489860476006,0.6105823789859134,75.10474181505447
51.979201297535084,84.46220455615195,91.5270662665274,4.339229813605362,3.92907533046459,9.357413711109524,10.692395305814403,10.0,12.255395198359931,12.29868362249456,7.023270186072337,171.18398986681856,0.7412855699323495,40.54261397519197
104.8340057741973,97.85494605378676,84.28036090207615,4.204484618716939,3.9079496672912852,8.315394833796034,8.241421506612353,8.139315017723863,11.349044346401351,12.935930495998345,6.823577493714776,178.66858696746078,0.7850596945492502,38.18924354085338
131.8011427188948,74.88237520472401,81.26151151648848,3.495652901744093,3.969192542115196,14.421863429472365,10.336776258075673,4.264681143204225,12.202923779432346,12.586395705391483,6.758884675008407,214.47368553629806,0.7268634251752085,42.48917141044761
215.211993144979,93.95236058955447,83.38705868486721,4.929534481818324,4.0827706326083915,6.87258499781789,9.706808204086139,5.256723635722031,11.357138765123263,12.075941207436644,6.67835328935387,204.28010501781174,0.6678246785174162,44.68512560811463
239.99674956985308,69.92640116347309,83.00912798306717,4.455664620539229,3.996341875515471,16.6873778578094,10.316791938388565,8.597636790921586,10.846783411934988,13.957033688040545,6.872939325616259,220.27751058813712,0.6743549833475434,38.50065833976687
285.2136133422629,89.13228269835089,92.11649846043218,4.172044922101416,3.933567725494999,5.022972558238616,9.437409478288963,8.4437792050387,11.110551946483929,13.199206374770894,7.100245106057968,215.6057839650403,0.8210746038994332,35.15891881685304
13.201571162254409,95.83150438168124,89.01310105769824,4.4144764731709385,3.9462932824805854,14.745446205031765,11.578043245341913,10.0,11.616058102143844,12.450004604158849,6.779538469432094,227.58715986782255,0.7241015886413206,42.44390310876614
34.99245510311295,88.35292611254896,100.0,4.117483361482437,4.348643996122862,4.606204305230295,11.056405637848474,5.311965860242024,10.26313178702646,12.837976475410352,6.966071899374005,163.52774565866736,0.840738734507118,36.778793538632016
63.03601186575689,89.52801560530949,93.0722553686034,3.4871776228371414,4.090510966074478,2.718023086838426,7.038740751589033,5.624926788167432,10.420691413655359,12.971485141979263,6.853957752524681,224.62228702307053,0.7198361575660276,42.01946366461929
70.39623441023063,87.66643730325322,84.41395381618719,3.8567304068246457,3.9414869531710743,8.629504679122345,6.928853318761827,4.0,11.952886201662727,12.76804535929799,7.107591989428322,241.20858983068965,0.7425863047406089,43.1427781092163
100.76288277066358,72.40681518640244,63.88279010943578,1.0354131887070823,3.7901269109621154,6.45331596858354,10.699820698228532,5.944946135953514,11.808390255900788,12.338190847156893,6.865325261846077,221.93874560143712,0.7199467000849903,34.53115039359668
87.24146130953717,84.82205798168448,62.587073573438374,2.0412911405860132,3.9107084011858197,8.391667959981755,11.028597810982257,5.4554950807895946,12.500714355780815,13.354694566193736,6.704293634100652,225.1912613815141,0.7771128912954243,42.196402161395575
89.1424788701192,80.45039669948156,81.56746287669614,3.2424702975449162,4.075891788081267,10.7216949806043,10.015585273418214,5.245838045307214,12.149622824946,12.179890945878498,7.18513858671517,199.21243522574284,0.7256612860967374,40.44362493244257
90.88924773574112,100.0,91.37599854754826,4.2170186454461245,4.425652787975471,8.521796907237055,12.677711434331712,8.99920427403958,11.498200530208278,13.10309432242381,6.853830728887459,244.8072177702371,0.7339593996032993,41.32631853620545
91.52729167344562,94.02985573874389,99.67419448080247,4.759623027516408,4.029324507665176,12.51120860018375,5.915033042003623,10.0,11.670366646331578,13.23775054844174,7.250908405939455,241.3154805114416,0.766295058925679,38.69428653982434
81.56340688567944,100.0,84.33921489265673,1.5461044638076349,3.7216486917515903,3.0411271232581187,8.894929399787438,10.0,10.831276937992085,13.053373943014433,7.015048458283544,235.60985510464647,0.7481816265826959,39.22324816848736
96.7010459758469,93.11581298526207,88.2436380944051,3.8684431322765978,3.9474895707786275,0.0,10.760175603732668,4.0,11.208921594897827,12.497491425008256,6.95612211402165,208.33128174007803,0.7951884830058441,45.85027163207632
92.14426385596316,95.48204381682457,94.29706771379674,5.901749332630956,3.869181656434114,11.765510738379747,3.0600859042626647,5.0788884734847315,10.678860238250456,12.2783186656761,6.903983179662003,209.647351183391,0.7146928268632275,45.82652878288265
90.76819414239434,100.0,95.80670364466775,7.955225881870713,4.033070084408418,5.8880446729856395,10.345594620192303,10.0,11.773764708012864,12.045750550087801,6.918027243650037,200.8906218639367,0.7701013878231555,42.44143098725627
77.50950308749913,96.1518672633502,90.65208855384044,10.186258864181394,3.9999034570704657,9.03215826238232,6.09399186161531,5.221668910886746,10.881906532578318,12.912194055944443,6.867235159433012,210.80976563741842,0.7489561855982984,40.52086404784607
92.55266610376289,14.720597277749631,1.9513136977929457,3.431147378613811,2.0912109233361638,119.94138480615617,89.00183535175339,10.0,11.281016507400722,11.851793930434832,7.130967927043795,220.77779401427082,0.7241791229216856,41.15252712947164
90.07261150625857,20.112650770955515,0.0,4.341768780308879,2.9740697614175886,60.426162783129286,90.38736960244077,10.0,11.474021900414076,12.757665319476445,6.946244836765936,220.40875456105857,0.7405748388841971,42.87099839119104
95.32625105201043,34.72642579852371,0.0,4.1652240622223635,3.8043437007809717,38.16415541583806,89.04449669587417,10.0,11.346700705948056,13.782975490046027,6.911351112570275,248.96195077322886,0.7452126911121628,40.87128289564218
89.00874410420423,61.62518044795431,1.7086456445238105,4.066977626051739,5.157040066017864,37.045364436034596,88.06965105645479,10.0,12.208251213674782,12.562519863034082,7.07524140184816,232.31817904533867,0.76595019282821,36.72595481866148
90.37424361032535,63.052681926558286,0.540560504801877,3.734996003365147,6.402616804959719,60.13050537486831,88.27659055100528,10.0,11.339453866290848,12.44043478361521,6.781497889099711,240.90746530009383,0.7422641905502233,38.26974061233284
74.26625823511297,88.99158072912778,2.6449183263133325,4.477558577880716,7.112943138268011,55.26517140079764,85.90722376370096,10.0,11.241688101671173,13.106024400805707,7.136147811182832,256.6739337571266,0.760031962633667,39.14358464457988
